name,code_name,role,affiliation,occurred,disclosed,disclosed_by,forensics_by,pegasus_project,tech_notified,device_type,attack_result,lockdown_bypass,attack_vector,exploit_name,first_activity,last_activity,operator,sources
Ayman Nour,,Politician,Union of the Egyptian National Forces,2021,2021-12-16,Citizen Lab,Citizen Lab,,,iPhone,Successful,,Link via WhatsApp,,2021-06-22,2021-06-22,Egypt,https://citizenlab.ca/2021/12/pegasus-vs-predator-dissidents-doubly-infected-iphone-reveals-cytrox-mercenary-spyware/
Anonymous #1,,Journalist,Egyptian living in exile,2021,2021-12-16,Citizen Lab,Citizen Lab,,,iPhone,Successful,,Link via WhatsApp,,2021-06,2021-06,Egypt,https://citizenlab.ca/2021/12/pegasus-vs-predator-dissidents-doubly-infected-iphone-reveals-cytrox-mercenary-spyware/
Thanasis Koukakis,,Journalist,CNN Greece,2021,2022-04-11,Inside Story,Citizen Lab,,,iPhone,Successful,,SMS,,2021-07-12,2021-09-24,Greece,https://insidestory.gr/article/poios-parakoloythoyse-kinito-toy-dimosiografoy-thanasi-koykaki
Nikos Androulakis,,Politician,Greek member of the European Parliament,2021,2022-07-26,Documento,Unnamed,,,iPhone,Attempted,,SMS,,2021-09-21,2021-09-21,Greece,https://www.documentonews.gr/article/minytiria-anafora-androylaki-kataggellei-apopeira-pagideysis-toy-kinitoy-toy-me-to-logismiko-predator/; https://www.nytimes.com/2022/08/12/world/europe/greece-surveillance-europe-kyriakos-mitsotakis.html
EYP employee #1,,Staff,National Intelligence Service in Greece,2021,2022-09-06,Ef.Syn,,,,,Attempted,,SMS,,2021-11-23,2021-11-23,Greece,https://www.efsyn.gr/politiki/358109_sto-stohastro-oi-mi-arestoi
EYP employee #2,,Staff,National Intelligence Service in Greece,2021,2022-09-06,Ef.Syn,,,,,Attempted,,SMS,,2021-11,2021-11,Greece,https://www.efsyn.gr/politiki/358109_sto-stohastro-oi-mi-arestoi
Christos Spirtzis,,Politician,,2021,2022-09-10; 2023-07-27,Kathimerini; Inside Story,,,,,Attempted,,SMS,,2021-11-15,2021-11-19,Greece,https://www.kathimerini.gr/politics/562036156/parakoloythiseis-ichni-predator-sto-tilefono-toy-chr-spirtzi/; https://insidestory.gr/article/predatorgate-ti-egrafan-ta-sms-pagida-poy-elavan-epiheirimaties-ypoyrgoi-kai-dimosiografoi
Michalis Chrisochoidis,,Politician,Minister of Citizen Protection of Greece,2021,2022-11-06; 2023-07-27,Documento; Inside Story,,,,,Attempted,,SMS,,,,Greece,https://www.documentonews.gr/article/h-lista-toy-mitsotaki/; https://insidestory.gr/article/predatorgate-ti-egrafan-ta-sms-pagida-poy-elavan-epiheirimaties-ypoyrgoi-kai-dimosiografoi
Nikos Dendias,,Politician,Foreign Minister of Greece,2021,2022-11-06; 2023-07-27,Documento; Inside Story,,,,,Attempted,,SMS,,,,Greece,https://www.documentonews.gr/article/h-lista-toy-mitsotaki/; https://insidestory.gr/article/predatorgate-ti-egrafan-ta-sms-pagida-poy-elavan-epiheirimaties-ypoyrgoi-kai-dimosiografoi
Adonis Georgiadis,,Politician,Minister of Development and Investment in Greece,2021,2022-11-06; 2023-07-27,Documento; Inside Story,,,,,Attempted,,SMS,,,,Greece,https://www.documentonews.gr/article/h-lista-toy-mitsotaki/; https://insidestory.gr/article/predatorgate-ti-egrafan-ta-sms-pagida-poy-elavan-epiheirimaties-ypoyrgoi-kai-dimosiografoi
Alexis Papahelas,,Journalist,Kathimerini,2021,2022-11-06; 2023-07-27,Documento; Inside Story,,,,,Attempted,,SMS,,,,Greece,https://www.documentonews.gr/article/h-lista-toy-mitsotaki/; https://insidestory.gr/article/predatorgate-ti-egrafan-ta-sms-pagida-poy-elavan-epiheirimaties-ypoyrgoi-kai-dimosiografoi
Kostis Hatzidakis,,Politician,Minister for Labor and Social Affairs in Greece,2021,2022-11-06; 2023-07-27,Documento; Inside Story,,,,,Attempted,,SMS,,,,Greece,https://greekreporter.com/2022/11/06/wiretapping-scandal-greece/; https://insidestory.gr/article/predatorgate-ti-egrafan-ta-sms-pagida-poy-elavan-epiheirimaties-ypoyrgoi-kai-dimosiografoi
Giorgos Patoulis,,Politician,Regional Governor of Attica in Greece,2021,2022-11-06; 2023-07-27,Documento; Inside Story,,,,,Attempted,,SMS,,,,Greece,https://greekreporter.com/2022/11/06/wiretapping-scandal-greece/; https://insidestory.gr/article/predatorgate-ti-egrafan-ta-sms-pagida-poy-elavan-epiheirimaties-ypoyrgoi-kai-dimosiografoi
Dimitris Avramopoulos,,Politician,New Democracy,2021,2022-11-06; 2023-07-27,Documento; Inside Story,,,,,Attempted,,SMS,,,,Greece,https://greekreporter.com/2022/11/06/wiretapping-scandal-greece/; https://insidestory.gr/article/predatorgate-ti-egrafan-ta-sms-pagida-poy-elavan-epiheirimaties-ypoyrgoi-kai-dimosiografoi
Alexis Patelis,,Economist,Chief Economic Advisor to the Greek Prime Minister,2021,2022-11-06; 2023-07-27,Documento; Inside Story,,,,,Attempted,,SMS,,,,Greece,https://greekreporter.com/2022/11/06/wiretapping-scandal-greece/; https://insidestory.gr/article/predatorgate-ti-egrafan-ta-sms-pagida-poy-elavan-epiheirimaties-ypoyrgoi-kai-dimosiografoi
Theodoros Karipidis,,Executive,,2021,2022-11-06; 2023-07-27,Documento; Inside Story,,,,,Attempted,,SMS,,,,Greece,https://greekreporter.com/2022/11/06/wiretapping-scandal-greece/; https://insidestory.gr/article/predatorgate-ti-egrafan-ta-sms-pagida-poy-elavan-epiheirimaties-ypoyrgoi-kai-dimosiografoi
Artemis Seaford,,Staff,Meta,2021,2022-11-14; 2023-03-20,Documento; New York Times,Citizen Lab,,,,Successful,,SMS,,2021-09,2021-11,Greece,https://www.documentonews.gr/article/oi-dikoi-toy-anthropoi-ston-kyklo-tis-parakoloythisis/; https://www.nytimes.com/2023/03/20/world/europe/greece-spyware-hacking-meta.html; https://multimedia.europarl.europa.eu/en/webstreaming/committee-of-inquiry-to-investigate-use-of-pegasus-and-equivalent-surveillance-spyware_20230420-0900-COMMITTEE-PEGA
Michalis Bekiris,,Politician,Director of the office of Prime Minister in Greece,2021,2022-11-14; 2023-07-27,Documento; Inside Story,,,,,Attempted,,SMS,,,,Greece,https://www.documentonews.gr/article/oi-dikoi-toy-anthropoi-ston-kyklo-tis-parakoloythisis; https://insidestory.gr/article/predatorgate-ti-egrafan-ta-sms-pagida-poy-elavan-epiheirimaties-ypoyrgoi-kai-dimosiografoi
Giorgos Gerapetritis,,Politician,Minister of State in Greece,2021,2022-11-14; 2023-07-27,Documento; Inside Story,,,,,Attempted,,SMS,,,,Greece,https://www.documentonews.gr/article/oi-dikoi-toy-anthropoi-ston-kyklo-tis-parakoloythisis; https://insidestory.gr/article/predatorgate-ti-egrafan-ta-sms-pagida-poy-elavan-epiheirimaties-ypoyrgoi-kai-dimosiografoi
May Zanni,,Politician,Special Advisor to the Prime Minister in Greece,2021,2022-11-14; 2023-07-27,Documento; Inside Story,Citizen Lab,,,,Successful,,SMS,,2021-08,2021-08,Greece,https://www.documentonews.gr/article/oi-dikoi-toy-anthropoi-ston-kyklo-tis-parakoloythisis; https://insidestory.gr/article/predatorgate-ti-egrafan-ta-sms-pagida-poy-elavan-epiheirimaties-ypoyrgoi-kai-dimosiografoi
Filippos Vryonis,,Executive,,2021,2022-11-14; 2023-07-27,Documento; Inside Story,,,,,Attempted,,SMS,,,,Greece,https://www.documentonews.gr/article/oi-dikoi-toy-anthropoi-ston-kyklo-tis-parakoloythisis; https://insidestory.gr/article/predatorgate-ti-egrafan-ta-sms-pagida-poy-elavan-epiheirimaties-ypoyrgoi-kai-dimosiografoi
Anna Stratinaki,,Lawyer,Secretary General for Labor in Greece,2021,2023-01-30; 2023-07-27,Documento; Inside Story,,,,,Attempted,,SMS,,,,Greece,https://www.documentonews.gr/article/ypo-parakoloythisi-ntora-kostas-kai-alexia-mpakogianni/; https://insidestory.gr/article/predatorgate-ti-egrafan-ta-sms-pagida-poy-elavan-epiheirimaties-ypoyrgoi-kai-dimosiografoi
Tina Messaropoulou,,Journalist,Wife of Secretary General of the Greek Parliament,2021,2023-01-30; 2023-07-27,Documento; Inside Story,,,,,Attempted,,SMS,,,,Greece,https://www.documentonews.gr/article/ypo-parakoloythisi-ntora-kostas-kai-alexia-mpakogianni/; https://insidestory.gr/article/predatorgate-ti-egrafan-ta-sms-pagida-poy-elavan-epiheirimaties-ypoyrgoi-kai-dimosiografoi
Tasos Papageorgiou,,Staff,National Intelligence Service in Greece,2021,2023-01-30; 2023-07-27,Documento; Inside Story,,,,,Attempted,,SMS,,,,Greece,https://www.documentonews.gr/article/ypo-parakoloythisi-ntora-kostas-kai-alexia-mpakogianni/; https://insidestory.gr/article/predatorgate-ti-egrafan-ta-sms-pagida-poy-elavan-epiheirimaties-ypoyrgoi-kai-dimosiografoi
Lakis Lazopoulos,,Actor,,2021,2023-01-30; 2023-07-27,Documento; Inside Story,,,,,Attempted,,SMS,,,,Greece,https://www.documentonews.gr/article/ypo-parakoloythisi-ntora-kostas-kai-alexia-mpakogianni/; https://insidestory.gr/article/predatorgate-ti-egrafan-ta-sms-pagida-poy-elavan-epiheirimaties-ypoyrgoi-kai-dimosiografoi
Thanos Plevris,,Politician,Minister for Health in Greece,2021,2023-07-27,Inside Story,,,,,Attempted,,SMS,,,,Greece,https://insidestory.gr/article/predatorgate-ti-egrafan-ta-sms-pagida-poy-elavan-epiheirimaties-ypoyrgoi-kai-dimosiografoi
Ahmed Tantawy,,Politician,Aspiring presidential candidate in Egypt,2023,2023-09-14,Mada Masr,Citizen Lab,,,,Attempted,,SMS,,2023-05,2023-09,,https://www.madamasr.com/en/2023/09/14/news/u/aspiring-presidential-candidate-ahmed-tantawi-targeted-by-predator-spyware/